ID,Amount.Requested,Interest.Rate,Loan.Length,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance
74097,9950,13.11%,36 months,24.21%,MORTGAGE,2500,705,17,16618
81822,7200,6.03%,36 months,17.27%,MORTGAGE,3416.67,790,14,4838
38540,14750,16.77%,60 months,17.32%,MORTGAGE,2500,685,8,11003
103250,5000,16.70%,36 months,2.67%,RENT,3000,690,4,2474
20785,20000,14.91%,36 months,19.43%,MORTGAGE,6250,715,12,14308
32636,18400,19.42%,60 months,22.53%,MORTGAGE,7400,705,14,10439
2834,7200,14.11%,36 months,13.62%,OWN,3583,700,3,1621
45427,18000,13.99%,60 months,2.13%,MORTGAGE,4364.58,725,9,1721
83841,8000,12.12%,36 months,24.98%,RENT,3166.67,690,10,5428
38903,4000,8.90%,36 months,13.16%,MORTGAGE,5166.67,720,9,7171
90332,6000,13.11%,36 months,18.10%,RENT,3750,690,18,14468
8382,6250,10.25%,36 months,18.04%,MORTGAGE,2400,720,5,14863
77035,5375,14.09%,36 months,15.05%,MORTGAGE,5416.67,685,13,4087
100469,8875,15.31%,36 months,14.90%,RENT,2302,665,8,10008
39792,7000,10.65%,36 months,7.38%,RENT,3333.33,700,7,12168
80904,12000,15.31%,36 months,21.83%,RENT,6416.67,680,20,11583
60688,21250,18.75%,36 months,26.53%,OWN,4500,670,15,25287
68301,3600,19.72%,60 months,22.22%,MORTGAGE,3200,680,13,11702
82419,12000,14.33%,36 months,28.20%,MORTGAGE,3333.33,670,11,10727
71540,10050,14.33%,36 months,16.48%,RENT,2500,690,7,13337
67109,4025,8.90%,36 months,15.32%,MORTGAGE,5000,700,12,15943
48352,5000,6.62%,36 months,1.20%,RENT,5000,780,8,531
36706,16500,11.71%,60 months,12.07%,MORTGAGE,2750,775,11,2316
22993,10000,7.29%,36 months,7.94%,MORTGAGE,5833.33,735,12,3181
102441,7500,12.29%,36 months,21.34%,MORTGAGE,8750,685,14,20947
50602,10000,6.03%,36 months,24.66%,MORTGAGE,2940.25,755,8,5904
52285,10000,8.90%,36 months,22.66%,RENT,2083.33,715,8,12724
77559,18000,7.90%,36 months,18.36%,RENT,5833.33,730,16,12522
98980,7000,16.29%,36 months,24.93%,MORTGAGE,3833.33,680,20,18792
92488,22000,22.47%,60 months,33.93%,MORTGAGE,5083.33,670,14,31152
53808,6000,13.11%,36 months,12.40%,RENT,1000,685,18,3622
32517,5600,6.62%,36 months,7.23%,MORTGAGE,5833.33,750,8,8125
82160,9500,12.12%,36 months,24.06%,MORTGAGE,2519.17,705,7,8673
47059,12000,13.11%,36 months,17.51%,MORTGAGE,9666.67,680,12,17226
19661,7200,10.37%,36 months,8.92%,MORTGAGE,4416.67,675,10,4137
89012,5000,15.80%,36 months,25.53%,RENT,6612,665,6,14283
39468,8250,15.96%,60 months,15.60%,MORTGAGE,2917,695,13,4479
83422,30000,22.47%,60 months,20.07%,MORTGAGE,7916.67,690,9,4202
55690,10075,15.81%,60 months,23.80%,MORTGAGE,6583.33,700,15,13259
66424,9050,13.11%,36 months,20.58%,MORTGAGE,5166.67,700,.,7571
98930,17500,10.16%,36 months,23.64%,MORTGAGE,3333.33,700,10,21483
16158,10000,6.91%,36 months,8.83%,RENT,4166.67,730,5,6381
66360,10000,8.90%,36 months,20.10%,RENT,2870.42,715,11,18802
63941,8500,15.80%,36 months,17.40%,RENT,2500,690,6,6491
57456,16000,14.65%,36 months,20.15%,RENT,3666.67,675,15,6875
79611,2350,14.09%,36 months,11.18%,MORTGAGE,1833.33,725,3,7463
20467,10000,7.29%,36 months,4.70%,RENT,6083.33,730,10,7337
96157,25000,15.80%,60 months,21.18%,MORTGAGE,5458.33,735,26,27327
76957,8000,14.33%,36 months,27.34%,RENT,3500,685,19,16395
78827,6000,13.11%,36 months,16.75%,MORTGAGE,4166.67,670,9,4500
65280,4000,13.11%,36 months,11.80%,RENT,5416.67,685,12,6616
79531,11500,11.14%,36 months,18%,RENT,2916.67,715,14,13851
42255,12000,9.91%,36 months,4.10%,RENT,12500,705,9,22889
28871,15250,16.49%,60 months,20.57%,RENT,2916.67,690,10,17931
21867,5000,12.68%,36 months,9.20%,RENT,3500,695,6,3555
73473,6000,7.90%,36 months,20.75%,RENT,3750,715,12,4318
56778,18225,16.29%,60 months,22.61%,RENT,3166.67,710,7,12233
10642,15000,10.38%,36 months,16.87%,MORTGAGE,6312,735,17,14339
15899,4000,5.79%,36 months,23.94%,RENT,4666.67,760,7,2889
92357,27000,12.12%,60 months,17.82%,MORTGAGE,7083.33,715,13,25137
9468,15000,13.85%,36 months,5.10%,RENT,3000,705,4,5936
77964,4950,10.16%,36 months,16.75%,RENT,1403.33,725,4,2738
23437,21000,10.00%,36 months,14.08%,RENT,6250,730,8,21102
57704,9000,15.31%,36 months,15.88%,RENT,5000,675,7,4532
86747,21000,18.75%,60 months,31.71%,MORTGAGE,9583.33,695,19,30589
61261,8000,19.05%,36 months,2.83%,RENT,3333.33,660,4,2832
15383,23000,6.91%,60 months,12.39%,MORTGAGE,4583.33,760,6,17695
56401,10000,14.65%,36 months,16.68%,MORTGAGE,8333.33,680,18,39461
16924,5000,9.99%,60 months,10.80%,RENT,6400,730,8,5783
88301,5350,10.16%,36 months,16.45%,MORTGAGE,11250,730,11,19184
40727,10000,12.42%,36 months,9.77%,RENT,3500,705,9,10912
59413,24000,10.16%,36 months,15.53%,MORTGAGE,5416.67,720,11,17882
91853,24000,7.90%,36 months,13.55%,MORTGAGE,7233.33,705,6,26039
71008,15475,14.09%,36 months,26.98%,MORTGAGE,3750,685,14,19670
59890,25000,21.00%,36 months,9.52%,RENT,8333.33,670,11,8575
42306,13000,9.91%,36 months,15.60%,RENT,2333.33,730,12,4487
47168,7550,7.62%,36 months,14.61%,MORTGAGE,2512,730,7,2814
77588,9600,15.31%,36 months,33.24%,RENT,3166.67,685,8,14774
14407,15000,15.21%,60 months,14.65%,RENT,5416.67,700,11,9171
102902,7000,14.11%,36 months,21.67%,RENT,4166.67,675,7,60550
71247,1000,15.31%,36 months,29.45%,MORTGAGE,2166.67,665,9,1748
6611,25000,12.87%,36 months,18.81%,RENT,6666.67,720,13,31890
80041,24000,14.33%,36 months,25.49%,MORTGAGE,11208.33,725,23,19428
78104,21000,18.49%,60 months,21.73%,RENT,16416.67,700,21,62549
59886,1000,13.11%,36 months,30.71%,RENT,1833.33,670,7,6283
NA,16000,9.63%,60 months,16.58%,OWN,5000,780,6,2300
40094,24400,17.27%,60 months,15.98%,RENT,6000,725,7,13879
75168,14675,7.90%,36 months,17.40%,MORTGAGE,3166.67,720,7,22549
79248,12000,19.05%,36 months,19.61%,MORTGAGE,4583.33,660,8,8970
73010,8000,13.11%,36 months,21.35%,OWN,3541.67,700,13,6885
47048,12000,13.11%,36 months,8.05%,MORTGAGE,3416.67,685,6,7708
10006,16800,10.99%,60 months,13.42%,MORTGAGE,5416.67,730,10,7258
75518,14500,14.33%,36 months,17.97%,RENT,3500,680,7,10846
2823,25000,16.63%,36 months,18.46%,RENT,8000,680,11,39502
54131,28625,13.11%,60 months,21.31%,MORTGAGE,4833.33,740,9,35863
70334,21000,22.95%,60 months,6.52%,MORTGAGE,20833.33,670,5,1240
55717,7500,9.76%,60 months,14.96%,MORTGAGE,7083.33,780,11,16449
12368,11875,10.38%,36 months,22.52%,MORTGAGE,6000,730,11,28210
47011,3600,13.67%,36 months,16.41%,MORTGAGE,5113,690,10,715
86309,16000,15.31%,36 months,20.10%,RENT,5924.5,695,11,9365
74257,20500,23.28%,60 months,24.85%,RENT,4333.33,660,13,4699
39713,10000,18.25%,36 months,24.14%,RENT,6250,665,9,22828
31573,15000,17.49%,60 months,11.22%,RENT,3333.33,695,4,6147
26493,10000,11.99%,36 months,21.89%,MORTGAGE,3417,680,13,18069
32982,11000,11.71%,36 months,7.80%,OWN,3820.27,685,7,6844
101403,25000,19.05%,60 months,28.46%,RENT,5833.33,690,20,33127
99661,15000,10.16%,36 months,26.75%,MORTGAGE,7666.67,675,16,71879
67222,5600,14.09%,36 months,26.35%,RENT,3833.33,665,19,16163
41977,20000,11.71%,36 months,15.20%,RENT,4583.33,720,15,16575
91765,25450,19.72%,60 months,33.75%,OWN,4750,665,20,14435
11648,7000,11.12%,36 months,9.06%,RENT,6333.33,715,6,349
51810,10400,12.12%,36 months,18.92%,RENT,3333.33,690,11,11964
14108,25000,14.84%,36 months,15.88%,RENT,7250,705,6,10770
102270,20000,11.97%,36 months,18.96%,MORTGAGE,7501,705,17,17212
16300,16000,17.43%,60 months,13.07%,MORTGAGE,4583.33,675,7,5729
82744,15000,7.90%,36 months,22.39%,MORTGAGE,7500,725,10,18756
94041,24625,19.72%,60 months,20.96%,RENT,5166.67,675,14,20694
99568,21850,13.11%,36 months,28.08%,RENT,4166.67,690,12,20497
66550,6000,15.31%,36 months,15.68%,MORTGAGE,7500,670,10,5263
102756,6700,16.00%,36 months,21.53%,MORTGAGE,4700,725,11,9007
3962,10000,12.21%,36 months,10.45%,RENT,7667,700,9,17328
83847,5775,15.31%,36 months,4.08%,RENT,5000,670,8,10088
33997,14475,15.27%,36 months,23.69%,RENT,4166.67,680,12,13294
72499,8000,17.27%,36 months,27.88%,RENT,2833.33,670,10,9926
92186,15000,12.12%,36 months,14.22%,MORTGAGE,5416.67,700,10,9237
80094,10000,17.77%,36 months,12.41%,MORTGAGE,4166.67,680,6,31212
32684,5600,13.49%,36 months,18.33%,RENT,2870.33,690,6,5033
14595,10000,16.32%,60 months,14.80%,RENT,2290,685,5,394
96564,13000,14.09%,36 months,32.64%,MORTGAGE,5000,675,8,15208
17157,15000,9.99%,60 months,11.95%,MORTGAGE,1958.33,745,8,3584
79363,2100,12.12%,36 months,25.77%,RENT,2555.16,680,8,21190
70571,12000,12.12%,36 months,20.48%,MORTGAGE,7666.67,685,10,5832
3660,1000,13.16%,36 months,19.63%,RENT,3500,670,9,11189
65335,16000,14.09%,60 months,7.78%,RENT,4166.67,735,6,4240
36283,14000,7.90%,36 months,21.69%,RENT,3162.25,730,12,13579
100086,14000,10.16%,36 months,13.44%,RENT,7916.67,690,16,19621
3406,20000,12.21%,36 months,14.63%,RENT,6000,725,8,28585
4799,17000,11.14%,36 months,6.65%,MORTGAGE,6333.33,760,7,6542
21789,7350,10.74%,60 months,29.82%,MORTGAGE,5000,745,15,15093
9281,10000,10.25%,36 months,12.93%,RENT,4841.67,775,4,0
8424,20000,11.36%,36 months,8.34%,MORTGAGE,15416.67,710,10,46501
7967,7000,7.14%,36 months,5.44%,MORTGAGE,3807.64,760,7,7196
76489,6000,12.12%,60 months,9.31%,RENT,9583.33,715,12,27756
19321,12000,10.00%,36 months,12.32%,MORTGAGE,5000,715,6,4515
73614,4225,6.03%,36 months,14.52%,MORTGAGE,2583.33,750,17,3907
599,14700,12.29%,36 months,21.94%,RENT,3100,700,14,14694
11084,2500,6.76%,36 months,6.99%,MORTGAGE,4750,755,15,4658
15135,4800,14.84%,36 months,0%,RENT,2500,670,4,0
43572,6000,15.96%,36 months,22.10%,RENT,5583.33,665,9,36748
62900,6000,6.03%,36 months,5.65%,MORTGAGE,7083.33,750,15,5747
85201,1800,15.31%,36 months,6.79%,MORTGAGE,6416.67,670,6,3394
69401,7200,15.80%,36 months,25.32%,MORTGAGE,3333.33,675,13,8903
52823,6000,12.12%,36 months,23.89%,MORTGAGE,8000,680,8,16139
93551,15300,11.14%,36 months,11.31%,MORTGAGE,6833.33,670,11,7106
2645,5000,9.32%,36 months,3.89%,MORTGAGE,2083.33,775,4,3901
62663,10500,17.77%,36 months,12.33%,MORTGAGE,4583.33,665,9,18936
79948,6625,17.77%,36 months,11.68%,RENT,10268.25,660,9,3563
71685,16000,22.47%,60 months,11.27%,RENT,4791.67,665,5,8474
100140,22000,16.29%,60 months,26.33%,RENT,4166.67,675,10,25245
11304,5000,15.21%,60 months,10.38%,RENT,6833.33,680,11,5045
89582,20000,8.90%,36 months,10.79%,RENT,12083.33,680,8,25672
23686,1500,13.06%,36 months,20.82%,MORTGAGE,7083.33,670,8,4665
28812,8000,7.49%,36 months,2.86%,MORTGAGE,5666.67,730,7,5964
57235,18225,16.29%,60 months,32.19%,MORTGAGE,7166.67,705,19,29219
73371,5000,7.62%,36 months,8.43%,MORTGAGE,2916.67,740,6,12444
53062,10000,13.99%,36 months,10.73%,RENT,2629,685,5,10029
65567,8000,17.77%,36 months,28.56%,RENT,2083.33,670,4,9059
104040,6000,10.75%,36 months,12.05%,RENT,6000,720,14,25090
18942,24250,18.62%,60 months,22.74%,RENT,5000,685,13,14392
42555,8700,12.69%,36 months,5.02%,RENT,14166.67,675,11,19036
34403,20400,14.65%,60 months,10.38%,RENT,6733.33,725,8,11149
47998,9000,6.62%,36 months,16.14%,RENT,3333.33,740,10,8689
70942,16100,11.14%,36 months,25.36%,MORTGAGE,6250,715,14,9737
75067,35000,21.00%,36 months,11.05%,MORTGAGE,7702,670,8,11346
21036,4600,7.66%,36 months,9.14%,MORTGAGE,6500,700,9,12942
102309,14400,14.18%,36 months,23.04%,MORTGAGE,4583.33,685,13,17568
81788,5000,11.14%,36 months,13.61%,RENT,3333.33,685,10,8436
60201,5500,19.05%,36 months,2.33%,OWN,7500,660,3,2530
11835,25000,13.98%,60 months,20.23%,MORTGAGE,5416.67,720,13,21168
72655,5000,14.09%,36 months,11.18%,RENT,10625,670,8,8054
51070,10000,14.65%,36 months,12.04%,RENT,2791.67,710,6,12139
3532,20000,11.89%,36 months,2.89%,MORTGAGE,5050,740,6,6863
19831,10000,17.14%,36 months,9.59%,RENT,1658,680,3,4902
56446,17000,9.76%,36 months,23.60%,RENT,5416.67,740,16,5992
92839,25000,22.47%,60 months,23.62%,MORTGAGE,5000,665,16,25348
74939,5000,7.90%,36 months,7.28%,RENT,8666.67,710,9,4572
59190,6000,13.11%,36 months,21.34%,MORTGAGE,5416.67,685,19,15107
56692,8000,17.27%,36 months,7.32%,RENT,5833.33,670,8,5350
84593,12000,14.09%,36 months,15.33%,RENT,8666.67,695,10,9624
5724,3000,8.94%,36 months,13.42%,RENT,4500,720,9,2541
15351,5000,6.17%,60 months,11.52%,RENT,1667,770,6,1108
70412,3200,10.16%,36 months,16.17%,MORTGAGE,3750,705,9,4283
77240,7625,18.49%,36 months,15.79%,RENT,3166.67,670,4,8030
27710,3000,22.11%,60 months,0%,OWN,1471,690,3,NA
25655,5000,11.49%,36 months,6.62%,MORTGAGE,3125,730,4,7187
27832,18500,12.99%,36 months,7.96%,RENT,5000,685,6,13490
80208,18000,14.09%,36 months,15.45%,MORTGAGE,4000,690,11,13877
27425,4200,10.59%,36 months,11.53%,RENT,3000,695,11,10067
21033,5000,7.29%,36 months,2.33%,MORTGAGE,5416.67,725,8,2937
34961,19000,11.71%,60 months,13.79%,MORTGAGE,4791.67,730,9,16348
38145,15000,16.77%,36 months,7.29%,RENT,7916.67,675,5,5355
77673,18625,19.72%,60 months,22.98%,RENT,4000,680,15,26050
51812,6075,7.62%,36 months,28.25%,RENT,1083.33,720,8,11539
94947,12500,15.31%,36 months,17.67%,MORTGAGE,3916.67,690,7,8221
49573,5000,15.31%,36 months,4.91%,RENT,7083.33,665,12,8225
61720,10000,12.12%,36 months,23.06%,RENT,3083.33,690,14,13638
42743,8000,16.77%,36 months,20.99%,RENT,3750,660,6,4010
50398,20000,15.81%,36 months,21.42%,RENT,5000,680,12,24352
40343,9600,13.49%,36 months,15.04%,RENT,4250,685,17,7713
52548,3600,9.76%,36 months,11.34%,RENT,2108.33,695,14,4467
96704,14075,18.75%,36 months,12.96%,RENT,3033.33,690,6,13036
10059,3000,7.51%,36 months,11.31%,RENT,3500,735,9,0
82534,35000,10.16%,36 months,25.56%,RENT,9220,760,12,40782
25767,1700,6.99%,36 months,5.20%,RENT,2250,750,4,4527
9244,8800,7.51%,36 months,20.73%,MORTGAGE,4833,790,6,306
6045,24250,12.18%,36 months,17.65%,MORTGAGE,8910.42,740,16,81940
5073,10750,11.14%,36 months,11.91%,MORTGAGE,4416.67,720,9,12619
38378,6000,15.96%,36 months,24.85%,MORTGAGE,3264,660,13,6347
99189,15000,10.16%,36 months,18.57%,MORTGAGE,5000,700,13,33389
66604,15000,14.33%,36 months,16.38%,MORTGAGE,5500,700,10,12413
87649,10000,13.11%,36 months,14.12%,RENT,7500,680,12,3235
58739,5950,12.12%,36 months,21.54%,MORTGAGE,5000,690,9,47746
28808,10000,10.99%,36 months,8.23%,OWN,5833.33,700,15,11620
26877,4000,15.23%,36 months,10.73%,RENT,2916.67,670,6,1651
13309,15000,7.88%,36 months,0.53%,MORTGAGE,10417,780,8,1343
6128,10000,15.31%,36 months,18.60%,RENT,2500,665,8,9092
70785,8875,13.11%,36 months,30.46%,OWN,2166.67,700,9,6797
44672,2400,10.74%,36 months,11.20%,RENT,2000,705,4,3055
13054,25000,20.53%,60 months,18.50%,RENT,8000,675,9,19548
103426,5500,16.07%,36 months,19.35%,MORTGAGE,3937.08,685,6,689
4545,6000,12.53%,36 months,23.07%,RENT,2916.67,685,11,3334
82722,18000,19.05%,60 months,6.28%,MORTGAGE,7500,690,8,20675
40489,28000,7.90%,36 months,5.81%,MORTGAGE,7000,800,8,771
49956,32000,16.29%,60 months,15.14%,RENT,7055,725,8,16174
69741,6000,13.11%,36 months,4.53%,RENT,2625,690,5,4299
65248,7200,8.90%,60 months,25.16%,MORTGAGE,3750,750,13,7283
75785,11500,11.14%,36 months,10.47%,RENT,2916.67,700,6,9562
27764,4800,5.42%,36 months,10.23%,MORTGAGE,6333.33,790,13,10704
43707,4000,10.65%,36 months,23.40%,MORTGAGE,2333.33,685,21,3522
35025,15000,10.65%,36 months,14.36%,RENT,9083.33,720,11,26902
28518,15000,17.99%,36 months,21.04%,MORTGAGE,5319.17,675,13,5613
42228,25000,12.42%,36 months,1.05%,MORTGAGE,16666.67,705,7,2839
81620,4800,18.75%,60 months,27.69%,RENT,1560,680,9,6563
37389,9500,6.62%,36 months,19.28%,MORTGAGE,3583.33,735,8,5240
3204,15000,12.53%,36 months,13.78%,MORTGAGE,8750,705,8,21702
10554,6000,13.98%,36 months,7.73%,RENT,6250,675,6,3507
94092,12300,6.03%,36 months,7.15%,RENT,6666.67,740,10,10976
43387,24000,7.51%,36 months,17.95%,OWN,4250,755,6,19509
103784,2000,11.12%,36 months,20.50%,MORTGAGE,6833.33,705,19,20653
54576,14000,9.76%,36 months,22.55%,MORTGAGE,8750,710,8,25026
47468,10000,12.12%,36 months,5.95%,OWN,5000,700,5,10752
2578,13000,9.63%,36 months,16.14%,MORTGAGE,3500,785,6,0
73765,5000,16.29%,60 months,11.80%,RENT,5416.67,690,7,8745
36519,6000,12.42%,36 months,11.68%,RENT,2500,670,6,9482
90239,10050,14.33%,36 months,6.07%,RENT,2916.67,710,9,7413
45980,4800,7.90%,NA,19.07%,RENT,NA,720,12,6813
55803,14400,10.74%,36 months,5.90%,MORTGAGE,6833.33,700,15,10017
98051,11625,15.31%,36 months,16.73%,RENT,2833.33,695,8,17469
62884,18200,10.16%,36 months,7.95%,RENT,4750,720,13,16184
16406,20000,13.35%,36 months,15.68%,MORTGAGE,9160,710,9,32392
37065,9600,17.27%,60 months,12.90%,RENT,3333.33,695,7,13648
4644,9000,11.83%,36 months,0.48%,RENT,4833,715,6,0
57169,35000,18.25%,60 months,27.69%,RENT,8083.33,725,15,29300
33050,1900,7.51%,36 months,19.27%,MORTGAGE,6000,735,12,18397
46324,20000,13.67%,36 months,15.34%,RENT,5166.67,710,8,12394
20367,2400,10.37%,36 months,9.54%,MORTGAGE,3166.67,675,6,2174
36837,4500,11.71%,36 months,15.87%,MORTGAGE,3333.33,675,15,11963
68829,12000,12.12%,36 months,19.41%,MORTGAGE,8750,710,10,32028
694,10000,8.63%,36 months,5.91%,MORTGAGE,7500,730,16,18343
61873,11575,7.90%,36 months,17.47%,MORTGAGE,2833.33,730,8,5654
94081,20000,6.62%,36 months,21.61%,MORTGAGE,8161.33,720,14,27904
101622,6000,14.70%,36 months,10.23%,RENT,6500,640,6,4103
21900,2800,10.00%,36 months,20.32%,RENT,3250,700,4,8717
70285,6000,14.09%,36 months,9.93%,RENT,4250,680,6,5815
16069,20000,6.91%,36 months,15.16%,RENT,9208,735,10,20965
57923,22000,13.99%,60 months,18.28%,MORTGAGE,6083.33,720,9,20181
99914,10000,13.11%,36 months,20.34%,RENT,5416.67,675,9,8066
100662,9450,12.12%,36 months,11.74%,MORTGAGE,4666.67,690,13,17639
20530,10400,7.66%,36 months,13.02%,MORTGAGE,6354,725,10,19656
20329,15875,15.28%,60 months,22.10%,RENT,3000,720,5,14289
53424,18000,12.12%,60 months,14.89%,MORTGAGE,8333.33,730,7,4038
47764,8000,8.90%,36 months,2.93%,RENT,5000,710,8,5540
94950,12000,14.33%,36 months,20.06%,RENT,4166.67,760,8,14163
15213,20000,6.54%,60 months,12.36%,OWN,5000,795,9,7960
38976,10000,16.77%,36 months,18.55%,RENT,2916.67,660,9,7565
40113,24500,19.03%,60 months,23.02%,RENT,4497,680,13,18906
71538,10000,12.12%,36 months,19.58%,RENT,6250,695,17,16348
48972,3600,7.90%,36 months,26.21%,MORTGAGE,4166.67,735,19,25
31876,12000,17.49%,60 months,6.94%,MORTGAGE,5445,670,8,4904
48894,6950,10.74%,36 months,20.71%,OWN,4583.33,685,7,18814
74320,8525,10.16%,36 months,26.14%,MORTGAGE,4583.33,705,8,31398
65600,5000,14.33%,36 months,28.51%,RENT,2750,690,14,5957
38529,4800,18.25%,60 months,13.81%,RENT,3750,695,13,16302
18088,6000,13.35%,36 months,21.36%,MORTGAGE,5000,665,11,4363
47960,4000,19.22%,60 months,9.03%,RENT,3700,680,19,2177
48295,14000,6.03%,36 months,14.67%,RENT,7500,745,12,16648
46245,23500,14.65%,36 months,19.48%,RENT,4000,685,7,20542
13454,2500,15.95%,36 months,24.07%,MORTGAGE,1500,665,10,2684
16524,2000,6.17%,36 months,2.63%,RENT,1600,745,9,736
92631,24000,16.29%,60 months,11.77%,MORTGAGE,7800,675,11,20676
14193,12800,11.49%,60 months,6.72%,MORTGAGE,4166.67,725,7,11992
51829,8000,7.90%,36 months,21.58%,RENT,5166.67,725,5,0
31000,3000,9.99%,36 months,21.30%,OWN,2333.33,710,10,3168
86532,7000,7.90%,36 months,1.41%,RENT,12500,725,4,5093
8102,18000,13.48%,36 months,6.24%,MORTGAGE,8333.33,690,13,14838
3112,9000,14.11%,36 months,8.21%,MORTGAGE,4167,670,7,19696
31448,11000,10.99%,36 months,4.26%,MORTGAGE,6666.67,695,11,4124
51408,6000,7.90%,36 months,14.99%,RENT,4416.67,720,10,2928
6646,6500,7.74%,36 months,18%,RENT,1500,785,5,2816
87572,19500,18.49%,36 months,9.79%,RENT,10000,675,16,14957
33225,16000,17.27%,60 months,19.26%,RENT,7000,695,7,5231
93794,18000,14.33%,60 months,13.98%,MORTGAGE,12916.67,685,11,14890
54455,30000,23.33%,60 months,17.39%,MORTGAGE,7083.33,665,21,56145
93742,10000,14.09%,36 months,5.82%,RENT,8750,660,14,11394
12860,16000,15.58%,60 months,12.86%,MORTGAGE,5427.42,700,11,19407
41993,35000,17.58%,36 months,11.80%,MORTGAGE,13333.33,690,12,21393
18447,8000,13.72%,36 months,9.67%,RENT,7758.33,665,6,12110
71782,14500,13.11%,36 months,28.29%,MORTGAGE,5988.67,700,12,18020
7789,12000,10.62%,36 months,19.02%,RENT,5000,720,9,11779
19675,4500,13.43%,36 months,1.23%,RENT,11500,670,5,1847
5858,16500,11.83%,36 months,17.44%,RENT,4810.08,725,7,24351
43307,10000,9.91%,36 months,14.32%,MORTGAGE,3666.67,705,9,17161
88490,35000,19.05%,60 months,13.40%,MORTGAGE,9166.67,690,7,26633
101891,21000,11.09%,36 months,21.28%,OWN,18333.33,745,31,270800
102234,8400,15.45%,36 months,15.71%,RENT,7083.33,640,7,14578
65443,6000,7.90%,36 months,9.31%,OWN,1750,705,14,5056
47597,12000,19.22%,36 months,14.62%,OWN,4166.67,665,3,6309
30397,12100,16.89%,36 months,11.16%,MORTGAGE,6166.67,665,5,2081
92868,25000,14.09%,36 months,4.79%,MORTGAGE,6833.33,675,5,8811
89683,16000,6.03%,36 months,14.48%,MORTGAGE,7333.33,780,11,71838
48006,27000,18.25%,36 months,22.32%,MORTGAGE,8583.33,690,9,6658
66892,12250,18.75%,36 months,17.21%,OWN,2916.67,665,7,10523
79618,10000,17.77%,36 months,22.60%,RENT,2500,665,12,12938
55180,9175,13.67%,36 months,19.43%,MORTGAGE,7083.33,675,8,25639
75159,14075,15.31%,36 months,25.70%,OWN,4000,680,13,11907
48624,13100,18.55%,36 months,23.24%,RENT,7968.75,660,19,19607
75022,14675,8.90%,36 months,14.95%,MORTGAGE,4000,715,6,12764
5733,5000,11.14%,36 months,2.84%,RENT,3200,710,6,2650
92795,18000,13.11%,36 months,26.54%,MORTGAGE,4166.67,670,11,16680
94514,12000,7.62%,36 months,15.10%,RENT,5666.67,775,7,12094
83906,19400,14.33%,36 months,16.15%,MORTGAGE,4583.33,680,12,12434
93318,18000,12.12%,36 months,19.29%,RENT,3333.33,665,15,26573
62203,12000,17.77%,36 months,9.84%,MORTGAGE,7500,665,11,15866
60969,8000,13.11%,36 months,26.11%,MORTGAGE,4166.67,675,15,11500
94593,23750,19.72%,60 months,14.22%,RENT,8333.33,710,12,10549
12932,7500,15.58%,36 months,10.74%,MORTGAGE,5000,695,8,8257
37813,5500,12.69%,36 months,21.24%,RENT,1666.67,680,7,5056
70028,16950,17.27%,60 months,26.62%,MORTGAGE,3583.33,710,7,12588
80138,3000,11.14%,36 months,27.74%,MORTGAGE,4333.33,715,6,6346
26033,1600,13.49%,36 months,12.10%,RENT,3200,670,5,1214
26950,6000,7.49%,36 months,14.66%,MORTGAGE,5833.33,715,12,7961
86660,7350,12.12%,36 months,19.85%,OWN,3355.05,695,19,11626
97487,12825,17.77%,36 months,24.41%,MORTGAGE,3416.67,670,15,8539
88522,24000,21.00%,60 months,23.69%,MORTGAGE,6500,685,17,36555
64166,10000,18.49%,60 months,16.47%,RENT,4104.67,695,5,7597
68487,5500,14.33%,36 months,27.83%,OWN,1541.67,675,5,10481
15014,17500,14.72%,36 months,9.30%,RENT,9519.75,695,9,31279
98373,10000,13.11%,36 months,19.01%,MORTGAGE,7500,680,11,14426
17664,20000,6.17%,36 months,12.27%,MORTGAGE,8083.33,770,13,29813
31943,11600,6.99%,36 months,8.62%,RENT,5833.33,735,8,2671
29365,12000,13.99%,60 months,12.98%,RENT,4166.67,715,8,2316
1800,13000,11.26%,36 months,14.05%,MORTGAGE,7666.67,720,8,9551
57003,8575,17.27%,36 months,9.84%,RENT,2500,665,6,8807
66296,6100,14.09%,36 months,9.51%,RENT,6666.67,685,10,5665
49473,14000,15.31%,36 months,14.26%,MORTGAGE,5000,680,5,11249
92016,10500,14.33%,36 months,19.55%,MORTGAGE,5666.67,670,7,11301
82922,19600,21.49%,60 months,9.76%,RENT,4170,675,8,11669
98272,15000,15.80%,36 months,10.27%,RENT,3333.33,670,11,10108
94925,8000,17.27%,36 months,5.28%,MORTGAGE,5833.33,725,11,12484
70905,20000,21.49%,36 months,27.47%,MORTGAGE,7750,660,15,26976
6723,11000,12.53%,36 months,18.89%,RENT,3500,700,6,6811
102775,6000,17.90%,36 months,6.60%,RENT,4166.67,675,5,3433
84633,12000,11.14%,36 months,3.11%,MORTGAGE,10833.33,705,12,11941
58263,17000,13.11%,36 months,16.92%,RENT,5083.33,690,10,8890
69300,6250,7.90%,36 months,8.45%,RENT,1916.67,720,6,3295
76916,27825,23.76%,60 months,12.86%,RENT,6250,665,16,27093
97076,30000,15.31%,36 months,15.42%,RENT,8333.33,680,21,29060
